date,BA,GO,MG,MT,PA,PR,RJ,RS,SC,SP
2021-07-01,901.6231972834909,1056.49137165108,3720.1609818780958,2345.292069750606,791.3739255671085,3248.5427256102407,2794.7301643397186,3009.3500918556106,1844.2781600135154,17980.7630254826
2021-08-01,888.2692058346371,1037.140294902633,3900.731979961243,2189.5922348895674,796.5966292162649,3232.028804379558,2886.3261711523414,2946.551993194601,1909.6851282916027,17045.5414940442
2021-09-01,792.0181371240117,1093.2130207914624,4183.963550522913,2432.237708872175,814.7161943005337,3339.363015675048,2094.3380910232618,3065.950015233687,1876.1698658215694,17574.43280923034
2021-10-01,647.0994496129981,954.9892944799733,4202.9630613778645,2308.908738289066,802.0466655877243,3249.950610307116,2013.6150539149278,2969.5135447663297,1849.0994794502994,17039.254837186527
2021-11-01,627.744868834432,879.9539977376869,4395.118219771934,2080.7793099800956,782.6668554279316,3224.4117706028874,2000.52179109149,2951.650305804622,1880.121172313751,17222.82306061451
2021-12-01,724.7337837300219,903.2023734294602,4202.709542539174,2164.349165906866,740.2216265252349,3387.2156991624306,1946.8013289835912,2950.4009236782445,1999.9246246719806,16837.1421036406
2022-01-01,797.2000672250224,908.9739936152583,4473.728054829625,2147.9522463791036,763.7893100503209,3296.842403259782,2116.568328874738,2965.611316033873,2055.638778924026,17713.100887305616
2022-02-01,827.9917784502201,1065.8938605236865,4896.322429944386,2625.775474743064,772.8369089867375,3545.541709354488,2546.7160146740416,3212.7191808704356,2218.259483285055,19544.476584414573
2022-03-01,987.9632406977605,1408.240801486458,5035.509987696718,2747.566732201615,756.9812595902958,3839.39432485967,2686.44407285183,3483.4507490324622,2269.814548647665,20518.90120159058
2022-04-01,1148.0624260333764,1566.617721756938,5327.730143834387,3198.0322579673507,789.9001548929082,4251.131937801952,3344.9568524131605,3913.0230889436625,2425.832588068818,21654.565778288048
2022-05-01,1163.9563386834056,1565.8366443258078,5123.662437953756,3137.4201649264814,720.824303288963,4020.415538534045,3351.822248031567,3949.879735718391,2348.6877107489245,20458.6359686827
2022-06-01,1308.32465257566,1487.2868346832097,5104.855640495106,3237.88926869574,713.5360853165528,4175.304639849381,3326.458472708331,4025.428086685248,2336.5188603694855,20193.548570341132
2022-07-01,1223.0511071498029,1441.5854496713164,4715.840391830353,3047.3528210577933,691.6835124050859,3933.819111342092,3040.981501676022,3903.4157408156093,2284.2716966484777,18556.866175090523
2022-08-01,1202.1058916607158,1468.2907061529593,5068.1523801445765,2989.924694767104,800.9164827086806,4193.578817435442,3086.40103931673,4152.727156907579,2474.0379001169854,18813.368721215465
2022-09-01,1059.9442106277322,1282.7155174733116,5113.698009713623,3067.8138908825354,801.0960840370514,4113.717463156157,2882.7011072564374,4180.850736851972,2515.402979044397,17861.132083643264
2022-10-01,1044.1871000143813,1192.3042885596215,4919.53127207581,3087.9664238836735,909.4132460152454,4114.870958341391,2787.0119849191224,4195.631339018741,2525.5920497762254,17702.66118322872
2022-11-01,1036.0991234183184,1184.113482439983,4850.169217761287,3089.243949006979,949.0101786064039,4011.811312667389,2981.609075002062,4167.811495329497,2497.258842241884,17234.109494872555
2022-12-01,1034.26400587619,1177.5158923197082,4782.118904073999,2836.125716192357,937.416270281078,3990.888754467905,3242.872515837975,4111.698949787024,2481.6989815488178,16488.960406321647
2023-01-01,1014.108347926052,1159.2007306211706,4558.3645382842005,2680.517099234206,920.8701700357797,3955.1958705978154,3297.5709251796434,3956.5986189563932,2487.996334780874,16101.291427944798
2023-02-01,1014.6835678055434,1192.9276200680356,4623.817084652768,2916.6140078366484,996.7192521594584,3975.6027583261507,3197.386318808283,3976.5002299283597,2575.172219182457,16892.269222948977
2023-03-01,1055.427914680511,1317.908401720945,4607.025283971309,2745.095399838915,1024.2075157310846,4463.752080744433,2973.1588627061833,4055.0746952471018,2671.4485999607373,17260.620989276027
2023-04-01,1196.6605846627294,1391.6915238528259,4850.256912221688,2728.1473575615555,1100.5202317432104,4407.091616583981,3253.6660367736795,4250.877417749241,2755.2883629204503,18401.583717546433
2023-05-01,1327.8007476053444,1251.3083800301904,4862.548951439722,2773.5993152960677,1115.4315466734736,4732.274216765115,3546.361910736553,4318.965925941766,2724.4447021571186,18919.505048374813
2023-06-01,1370.6599267836707,1254.462896107106,4914.325038811845,2735.4451937562144,1102.3538778371408,4813.56497020284,3656.870241650789,4398.312366307583,2759.801296322982,20045.17882639275
2023-07-01,1367.4668381222325,1240.6641981191326,4899.624878488189,2823.3548565142587,1097.611786402868,4644.125098754585,3170.7252775063207,4430.415120630605,2775.664130874479,20234.358701688012
2023-08-01,1091.7450209517021,1288.1240602613577,4719.195456949015,2820.581081399477,1048.468560546186,4384.938436530875,2761.6966047208803,4134.316845052043,2650.02696861456,19503.06546054685
2023-09-01,1098.6408989484223,1235.5851627788722,4615.273686074237,2829.143271799836,1026.4232307840346,3900.340125411484,2907.7685764961834,3953.7462688543696,2584.8988543004057,18418.78282544735
2023-10-01,1057.3926740363759,1130.261074014419,4302.707252035493,2846.0747755627067,969.564959118273,3541.98464090487,2868.02516606727,3765.0681984178073,2546.4222362197042,17294.76583480098
2023-11-01,1072.4041332534316,1010.2900694443449,4369.2273021692645,2872.068532029604,977.5642294080831,3410.0610425758,3246.9391821443996,3733.2590434415124,2624.4362601161547,17728.15593141727
2023-12-01,972.6298770993989,947.6571569259742,4320.12888823356,2893.1280405461735,990.7416377801923,3363.723156537952,4039.147523900067,3595.651341548489,2604.4989239029237,17720.235626525555
2024-01-01,908.3856759510713,944.8964999577729,4341.394502711245,2991.785855124196,1005.9483421673064,3343.7421161749753,4232.892625734289,3492.7957653727917,2632.455287794871,17659.60009746847
2024-02-01,1205.0699434363542,1009.8933731893123,4270.511520519912,2933.706430920009,1021.5306209611247,3306.3945897035487,4303.321874388699,3527.138769454141,2646.824163990453,17218.943570075207
2024-03-01,1283.403863101676,1109.9710616433065,4390.860540311499,2860.0366872228055,1032.9232457970472,3478.626770081945,4248.788332952774,3866.6534687817225,2618.052506647712,17135.470219126917
2024-04-01,1327.2370222751895,1182.3898827704697,4618.283695277716,2780.845583532841,1017.4778551291746,3478.8621041512088,4143.733127999179,3851.7755675378658,2651.6540409586764,17153.217902388777
2024-05-01,1403.2923967899915,1263.3303088155985,4610.315048134928,3022.5385632158373,1012.9749501972548,3472.6482020295184,4257.788021817264,3746.529840748507,2636.599199370356,17451.78529742145
2024-06-01,1366.004823446773,1231.119947943489,4673.984974679751,3062.631992713944,962.4398189899553,3434.130749927397,4883.797760888952,3602.3211112830877,2584.6478541842375,17056.368111426913
2024-07-01,1261.0546721813496,1177.7004687781962,4726.964857035565,2833.237107799263,929.6330026808876,3397.981788873596,4993.768560323942,3501.184160751848,2492.4872436428145,17008.574365252578
2024-08-01,1202.483818596279,1146.7038293023047,4703.384486233285,2756.4086867792475,912.6319749157691,3304.9879743476877,5379.433291223686,3447.4973863700648,2588.483535072138,17588.48139921297
