"date","bank_type","tf_usd_millions"
2023-04-01,"Consumer/Retail",0
2023-04-01,"Foreign",3002.33599724946
2023-04-01,"Large Domestic",762.388780705818
2023-04-01,"Other Domestic",2508.99774103179
2023-05-01,"Consumer/Retail",0
2023-05-01,"Foreign",2900.01438036738
2023-05-01,"Large Domestic",751.201545841147
2023-05-01,"Other Domestic",2467.56594786283
2023-06-01,"Consumer/Retail",0
2023-06-01,"Foreign",2988.33003312662
2023-06-01,"Large Domestic",699.551052634915
2023-06-01,"Other Domestic",2483.79574796593
2023-07-01,"Consumer/Retail",0
2023-07-01,"Foreign",2981.99017386068
2023-07-01,"Large Domestic",746.148445492552
2023-07-01,"Other Domestic",2387.31283574395
2023-08-01,"Consumer/Retail",0
2023-08-01,"Foreign",2925.22255777796
2023-08-01,"Large Domestic",683.75843400709
2023-08-01,"Other Domestic",2450.18478254458
2023-09-01,"Consumer/Retail",0
2023-09-01,"Foreign",2849.75618341987
2023-09-01,"Large Domestic",728.627311664865
2023-09-01,"Other Domestic",2528.7843688401
2023-10-01,"Consumer/Retail",0
2023-10-01,"Foreign",2849.88702609761
2023-10-01,"Large Domestic",708.802906037155
2023-10-01,"Other Domestic",2397.72734620235
2023-11-01,"Consumer/Retail",0
2023-11-01,"Foreign",2748.34873106225
2023-11-01,"Large Domestic",733.442307005858
2023-11-01,"Other Domestic",2611.25536034294
2023-12-01,"Consumer/Retail",0
2023-12-01,"Foreign",2619.17046702681
2023-12-01,"Large Domestic",735.108145617676
2023-12-01,"Other Domestic",2635.06119079887
2024-01-01,"Consumer/Retail",0
2024-01-01,"Foreign",2595.6106704386
2024-01-01,"Large Domestic",702.297210509027
2024-01-01,"Other Domestic",2496.32075495756
2024-02-01,"Consumer/Retail",0
2024-02-01,"Foreign",2583.29732087267
2024-02-01,"Large Domestic",672.180123205077
2024-02-01,"Other Domestic",2382.36632147296
2024-03-01,"Consumer/Retail",0
2024-03-01,"Foreign",2548.39806706373
2024-03-01,"Large Domestic",651.953342454961
2024-03-01,"Other Domestic",2222.13236514923
2024-04-01,"Consumer/Retail",0
2024-04-01,"Foreign",2521.53544436926
